t,__msgtype__,format,header.__msgtype__,header.frame_id,header.stamp.__msgtype__,header.stamp.nanosec,header.stamp.sec,pitch,roll,status,std,t_last_reset,time,x,y,yaw,z
1724164479.8019543,sensors/msg/DVLPosition,json_v3.1,std_msgs/msg/Header,,builtin_interfaces/msg/Time,801519155,1724164479,1.5903270497520907,-2.0028192596301273,0,0.0,1724164477.9570637,1687100438.5032969,0.051770288084277374,-0.014072689780224723,-0.6325550836240115,0.010188619705529086
1724164480.0078282,sensors/msg/DVLPosition,json_v3.1,std_msgs/msg/Header,,builtin_interfaces/msg/Time,6940126,1724164480,1.8431489647540398,-1.583715272294091,0,0.0,1724164477.9570637,1687100438.7234929,0.06442200027611553,-0.009308391495835778,-0.6101831127885396,0.02506594755191337
1724164480.2229679,sensors/msg/DVLPosition,json_v3.1,std_msgs/msg/Header,,builtin_interfaces/msg/Time,221364498,1724164480,2.1500456471360385,-1.2336937758018556,0,0.0,1724164477.9570637,1687100438.9345489,0.07358551059075814,0.0023624016014579946,-0.7643659078108822,0.04765350979853286
1724164480.453055,sensors/msg/DVLPosition,json_v3.1,std_msgs/msg/Header,,builtin_interfaces/msg/Time,452746391,1724164480,2.2952865685825277,-0.8368737212644687,0,0.0,1724164477.9570637,1687100439.1530678,0.08526059838997671,0.01425223760968562,-1.1697538108267,0.07902559253238725
1724164480.6616712,sensors/msg/DVLPosition,json_v3.1,std_msgs/msg/Header,,builtin_interfaces/msg/Time,660883903,1724164480,2.349584233521419,-0.5500210780903066,0,0.0,1724164477.9570637,1687100439.3716,0.10059157701545479,0.023341380836227568,-1.343814510164782,0.11397364637426984
1724164480.8691118,sensors/msg/DVLPosition,json_v3.1,std_msgs/msg/Header,,builtin_interfaces/msg/Time,867868423,1724164480,2.73661633059216,-0.3144887990280587,0,0.0,1724164477.9570637,1687100439.591562,0.12180156803794932,0.026911676813718963,-1.6090419631874173,0.14945034113074807
1724164481.0943327,sensors/msg/DVLPosition,json_v3.1,std_msgs/msg/Header,,builtin_interfaces/msg/Time,93265295,1724164481,2.9066903384299176,0.39839861600021087,0,0.0,1724164477.9570637,1687100439.80684,0.14426727593620578,0.026003186125387007,-2.211301783638186,0.18348544925585275
1724164481.328149,sensors/msg/DVLPosition,json_v3.1,std_msgs/msg/Header,,builtin_interfaces/msg/Time,326916933,1724164481,2.628706976887266,0.9219407921021987,0,0.0,1724164477.9570637,1687100440.0263119,0.17462552366409942,0.017991772873290814,-2.547809919014984,0.21569892830776846
1724164481.5265954,sensors/msg/DVLPosition,json_v3.1,std_msgs/msg/Header,,builtin_interfaces/msg/Time,525905609,1724164481,2.643001557605809,0.9315878375086255,0,0.0,1724164477.9570637,1687100440.24272,0.21104570000365788,0.010598696948598572,-2.696838039432208,0.24158130237700057
1724164481.7550437,sensors/msg/DVLPosition,json_v3.1,std_msgs/msg/Header,,builtin_interfaces/msg/Time,753302574,1724164481,2.92441175444479,0.8541641033398254,0,0.0,1724164477.9570637,1687100440.456718,0.25119608479777616,0.001502241063438363,-2.8020129902771647,0.2590742205305347
1724164481.9565222,sensors/msg/DVLPosition,json_v3.1,std_msgs/msg/Header,,builtin_interfaces/msg/Time,955807209,1724164481,3.1466349409804795,0.5472483573292302,0,0.0,1724164477.9570637,1687100440.676971,0.29321533871420696,-0.006391912270184032,-3.051976538242865,0.2683770723136898
1724164482.1826046,sensors/msg/DVLPosition,json_v3.1,std_msgs/msg/Header,,builtin_interfaces/msg/Time,182163238,1724164482,4.2858957136463385,0.1684304865128615,0,0.0,1724164477.9570637,1687100440.891862,0.33297237437314825,-0.008602142452270894,-3.483181541682987,0.27608161330372283
1724164482.4033117,sensors/msg/DVLPosition,json_v3.1,std_msgs/msg/Header,,builtin_interfaces/msg/Time,402833461,1724164482,4.637802820881768,-0.45945559346321324,0,0.0,1724164477.9570637,1687100441.108505,0.36709064958698157,-0.00805489551224309,-3.845216301003491,0.28181799262880414
1724164482.6300733,sensors/msg/DVLPosition,json_v3.1,std_msgs/msg/Header,,builtin_interfaces/msg/Time,629268884,1724164482,4.608456029357017,-1.004150838945591,0,0.0,1724164477.9570637,1687100441.328989,0.3992983476028017,-0.00626530585956128,-4.05098308693352,0.2896280876988376
1724164482.8351614,sensors/msg/DVLPosition,json_v3.1,std_msgs/msg/Header,,builtin_interfaces/msg/Time,834512948,1724164482,4.301747909503425,-1.4003201048553762,0,0.0,1724164477.9570637,1687100441.552826,0.4309390346793056,-0.005331229997594132,-4.137928248759943,0.2986453723895107
1724164483.0625412,sensors/msg/DVLPosition,json_v3.1,std_msgs/msg/Header,,builtin_interfaces/msg/Time,61939477,1724164483,3.9592122357763,-1.499815910213477,0,0.0,1724164477.9570637,1687100441.767197,0.4654648337434314,-0.0037213519605915034,-3.9401786318698813,0.3049491283508139
1724164483.2847733,sensors/msg/DVLPosition,json_v3.1,std_msgs/msg/Header,,builtin_interfaces/msg/Time,284311056,1724164483,3.495927215395583,-1.4269815762135238,0,0.0,1724164477.9570637,1687100441.9870698,0.5057407561562797,-0.0020601633577268744,-3.3305386330466824,0.30703157133164793
1724164483.4910388,sensors/msg/DVLPosition,json_v3.1,std_msgs/msg/Header,,builtin_interfaces/msg/Time,489760398,1724164483,2.8459788688417356,-1.2658800415072529,0,0.0,1724164477.9570637,1687100442.204015,0.5522118646687963,-0.00047135830292444015,-2.1536895320916867,0.2991368854270621
1724164483.7118328,sensors/msg/DVLPosition,json_v3.1,std_msgs/msg/Header,,builtin_interfaces/msg/Time,711168527,1724164483,2.1418014699836716,-1.4419722660529026,0,0.0,1724164477.9570637,1687100442.415881,0.6058642927454467,0.001840398160255038,-0.5693940253552199,0.28227737197109415
1724164483.9219809,sensors/msg/DVLPosition,json_v3.1,std_msgs/msg/Header,,builtin_interfaces/msg/Time,921604871,1724164483,1.6621450949334349,-1.8573608274438294,0,0.0,1724164477.9570637,1687100442.633602,0.6609324209752172,0.0021969320586916396,0.3109564043299972,0.2629132374784212
1724164484.1437087,sensors/msg/DVLPosition,json_v3.1,std_msgs/msg/Header,,builtin_interfaces/msg/Time,142790317,1724164484,1.6773189193776856,-2.3223902157186322,0,0.0,1724164477.9570637,1687100442.8481898,0.7134009276086897,4.174878015819139e-06,0.9241362434848303,0.24565863628483484
1724164484.353674,sensors/msg/DVLPosition,json_v3.1,std_msgs/msg/Header,,builtin_interfaces/msg/Time,352961063,1724164484,1.3298434480993473,-2.8878331274076534,0,0.0,1724164477.9570637,1687100443.070694,0.7615089266925571,0.002277061830666836,1.2137497734009242,0.2366924304618173
1724164484.5814672,sensors/msg/DVLPosition,json_v3.1,std_msgs/msg/Header,,builtin_interfaces/msg/Time,581134557,1724164484,2.081615298684109,-3.429685387075851,0,0.0,1724164477.9570637,1687100443.2872028,0.807730300879859,0.009342852410853694,1.159058497475795,0.2357120997552942
1724164484.799629,sensors/msg/DVLPosition,json_v3.1,std_msgs/msg/Header,,builtin_interfaces/msg/Time,798552751,1724164484,2.736289152404886,-3.6995749433467284,0,0.0,1724164477.9570637,1687100443.5111508,0.8494307964468854,0.016156698306846514,0.8157189475345904,0.23985197304306985
1724164485.0241513,sensors/msg/DVLPosition,json_v3.1,std_msgs/msg/Header,,builtin_interfaces/msg/Time,22955894,1724164485,2.855761465588008,-3.6996194391486297,0,0.0,1724164477.9570637,1687100443.728848,0.8895399837426856,0.026407453390072746,0.02810222079405615,0.24729283147218367
