t,__msgtype__,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,header.__msgtype__,header.frame_id,header.stamp.__msgtype__,header.stamp.nanosec,header.stamp.sec,mag_x,mag_y,mag_z
1724164481.7207782,messages/msg/IMU,-79.0,60.0,-998.0,-13.0,34.0,-25.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,720386028,1724164481,0.0,0.0,0.0
1724164481.7814527,messages/msg/IMU,-79.0,60.0,-998.0,-13.0,34.0,-25.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,780278682,1724164481,0.0,0.0,0.0
1724164481.8297265,messages/msg/IMU,-66.0,68.0,-990.0,-36.0,39.0,-25.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,829147338,1724164481,0.0,0.0,0.0
1724164481.8776004,messages/msg/IMU,-66.0,68.0,-990.0,-36.0,39.0,-25.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,875986576,1724164481,0.0,0.0,0.0
1724164481.937232,messages/msg/IMU,-64.0,56.0,-990.0,-39.0,39.0,-47.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,935823440,1724164481,0.0,0.0,0.0
1724164481.9921484,messages/msg/IMU,-64.0,56.0,-990.0,-39.0,39.0,-47.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,991671085,1724164481,0.0,0.0,0.0
1724164482.0564485,messages/msg/IMU,-55.0,78.0,-998.0,-37.0,36.0,-147.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,55501461,1724164482,0.0,0.0,0.0
1724164482.1231673,messages/msg/IMU,-47.0,78.0,-988.0,-31.0,41.0,-64.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,122322797,1724164482,0.0,0.0,0.0
1724164482.1871085,messages/msg/IMU,-47.0,78.0,-988.0,-31.0,41.0,-64.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,186152935,1724164482,0.0,0.0,0.0
1724164482.2340782,messages/msg/IMU,-46.0,81.0,-987.0,-33.0,50.0,-25.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,233316183,1724164482,0.0,0.0,0.0
1724164482.2959366,messages/msg/IMU,-42.0,89.0,-992.0,-41.0,54.0,-19.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,295121192,1724164482,0.0,0.0,0.0
1724164482.356682,messages/msg/IMU,-42.0,89.0,-992.0,-41.0,54.0,-19.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,356007099,1724164482,0.0,0.0,0.0
1724164482.4389448,messages/msg/IMU,-37.0,86.0,-979.0,-24.0,49.0,-9.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,437741041,1724164482,0.0,0.0,0.0
1724164482.4992244,messages/msg/IMU,-38.0,89.0,-990.0,-18.0,48.0,9.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,498576879,1724164482,0.0,0.0,0.0
1724164482.557354,messages/msg/IMU,-38.0,89.0,-990.0,-18.0,48.0,9.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,556463241,1724164482,0.0,0.0,0.0
1724164482.6151145,messages/msg/IMU,-19.0,86.0,-987.0,-7.0,38.0,5.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,614309072,1724164482,0.0,0.0,0.0
1724164482.6769397,messages/msg/IMU,-19.0,86.0,-987.0,-7.0,38.0,5.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,676164150,1724164482,0.0,0.0,0.0
1724164482.7465384,messages/msg/IMU,-18.0,97.0,-980.0,-6.0,22.0,22.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,745970726,1724164482,0.0,0.0,0.0
1724164482.8054416,messages/msg/IMU,-30.0,67.0,-1003.0,6.0,18.0,19.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,804594755,1724164482,0.0,0.0,0.0
1724164482.8613908,messages/msg/IMU,-30.0,67.0,-1003.0,6.0,18.0,19.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,860443115,1724164482,0.0,0.0,0.0
1724164482.9117274,messages/msg/IMU,-26.0,83.0,-991.0,13.0,14.0,16.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,911326408,1724164482,0.0,0.0,0.0
1724164482.9730258,messages/msg/IMU,-26.0,83.0,-991.0,13.0,14.0,16.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,972146272,1724164482,0.0,0.0,0.0
1724164483.029449,messages/msg/IMU,-34.0,70.0,-987.0,36.0,5.0,12.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,28993368,1724164483,0.0,0.0,0.0
