t,__msgtype__,depth,header.__msgtype__,header.frame_id,header.seq,header.stamp.__msgtype__,header.stamp.nanosec,header.stamp.sec,pressure,temperature
1724164481.3970754,messages/msg/DepthTemperature,2.1989998817443848,std_msgs/msg/Header,,1743,builtin_interfaces/msg/Time,396253108,1724164481,1229.300048828125,15.5
1724164481.4432418,messages/msg/DepthTemperature,2.1989998817443848,std_msgs/msg/Header,,1744,builtin_interfaces/msg/Time,442131042,1724164481,1229.300048828125,15.5
1724164481.50312,messages/msg/DepthTemperature,2.194999933242798,std_msgs/msg/Header,,1745,builtin_interfaces/msg/Time,501970767,1724164481,1228.9000244140625,15.5
1724164481.5650148,messages/msg/DepthTemperature,2.194999933242798,std_msgs/msg/Header,,1746,builtin_interfaces/msg/Time,563806533,1724164481,1228.9000244140625,15.5
1724164481.6323795,messages/msg/DepthTemperature,2.2009999752044678,std_msgs/msg/Header,,1747,builtin_interfaces/msg/Time,631623029,1724164481,1229.5,15.5
1724164481.6818595,messages/msg/DepthTemperature,2.2009999752044678,std_msgs/msg/Header,,1748,builtin_interfaces/msg/Time,681530714,1724164481,1229.5,15.5
1724164481.7684295,messages/msg/DepthTemperature,2.193000078201294,std_msgs/msg/Header,,1749,builtin_interfaces/msg/Time,767271280,1724164481,1228.699951171875,15.5
1724164481.8423028,messages/msg/DepthTemperature,2.197999954223633,std_msgs/msg/Header,,1750,builtin_interfaces/msg/Time,841074705,1724164481,1229.199951171875,15.489999771118164
1724164481.8993483,messages/msg/DepthTemperature,2.197999954223633,std_msgs/msg/Header,,1751,builtin_interfaces/msg/Time,897924184,1724164481,1229.199951171875,15.489999771118164
1724164481.9656255,messages/msg/DepthTemperature,2.200000047683716,std_msgs/msg/Header,,1752,builtin_interfaces/msg/Time,964745759,1724164481,1229.4000244140625,15.489999771118164
1724164482.0322511,messages/msg/DepthTemperature,2.2009999752044678,std_msgs/msg/Header,,1753,builtin_interfaces/msg/Time,31565427,1724164482,1229.5,15.5
1724164482.0816538,messages/msg/DepthTemperature,2.2009999752044678,std_msgs/msg/Header,,1754,builtin_interfaces/msg/Time,80434322,1724164482,1229.5,15.5
1724164482.1510866,messages/msg/DepthTemperature,2.197999954223633,std_msgs/msg/Header,,1755,builtin_interfaces/msg/Time,149251699,1724164482,1229.199951171875,15.5
1724164482.223663,messages/msg/DepthTemperature,2.2060000896453857,std_msgs/msg/Header,,1756,builtin_interfaces/msg/Time,222315788,1724164482,1230.0,15.5
1724164482.282541,messages/msg/DepthTemperature,2.2060000896453857,std_msgs/msg/Header,,1757,builtin_interfaces/msg/Time,280201196,1724164482,1230.0,15.5
1724164482.3461492,messages/msg/DepthTemperature,2.200000047683716,std_msgs/msg/Header,,1758,builtin_interfaces/msg/Time,344988584,1724164482,1229.4000244140625,15.5
1724164482.4210804,messages/msg/DepthTemperature,2.203000068664551,std_msgs/msg/Header,,1759,builtin_interfaces/msg/Time,419795751,1724164482,1229.699951171875,15.5
1724164482.4708803,messages/msg/DepthTemperature,2.203000068664551,std_msgs/msg/Header,,1760,builtin_interfaces/msg/Time,469657897,1724164482,1229.699951171875,15.5
1724164482.5266232,messages/msg/DepthTemperature,2.2100000381469727,std_msgs/msg/Header,,1761,builtin_interfaces/msg/Time,525565385,1724164482,1230.4000244140625,15.5
1724164482.5782692,messages/msg/DepthTemperature,2.2100000381469727,std_msgs/msg/Header,,1762,builtin_interfaces/msg/Time,577408075,1724164482,1230.4000244140625,15.5
1724164482.643403,messages/msg/DepthTemperature,2.2139999866485596,std_msgs/msg/Header,,1763,builtin_interfaces/msg/Time,642271041,1724164482,1230.800048828125,15.5
1724164482.728917,messages/msg/DepthTemperature,2.2260000705718994,std_msgs/msg/Header,,1764,builtin_interfaces/msg/Time,727990865,1724164482,1232.0999755859375,15.5
1724164482.788452,messages/msg/DepthTemperature,2.2260000705718994,std_msgs/msg/Header,,1765,builtin_interfaces/msg/Time,787641048,1724164482,1232.0999755859375,15.5
1724164482.8354359,messages/msg/DepthTemperature,2.2249999046325684,std_msgs/msg/Header,,1766,builtin_interfaces/msg/Time,834512948,1724164482,1232.0,15.5
1724164482.8823655,messages/msg/DepthTemperature,2.2249999046325684,std_msgs/msg/Header,,1767,builtin_interfaces/msg/Time,881388187,1724164482,1232.0,15.5
1724164482.9381857,messages/msg/DepthTemperature,2.2249999046325684,std_msgs/msg/Header,,1768,builtin_interfaces/msg/Time,937237739,1724164482,1232.0,15.5
1724164483.0030372,messages/msg/DepthTemperature,2.236999988555908,std_msgs/msg/Header,,1769,builtin_interfaces/msg/Time,2093315,1724164483,1233.199951171875,15.5
1724164483.0551224,messages/msg/DepthTemperature,2.236999988555908,std_msgs/msg/Header,,1770,builtin_interfaces/msg/Time,53960800,1724164483,1233.199951171875,15.5
1724164483.121864,messages/msg/DepthTemperature,2.2360000610351562,std_msgs/msg/Header,,1771,builtin_interfaces/msg/Time,120748758,1724164483,1233.0999755859375,15.5
1724164483.219198,messages/msg/DepthTemperature,2.246000051498413,std_msgs/msg/Header,,1772,builtin_interfaces/msg/Time,218487024,1724164483,1234.0999755859375,15.5
1724164483.271903,messages/msg/DepthTemperature,2.246000051498413,std_msgs/msg/Header,,1773,builtin_interfaces/msg/Time,270348072,1724164483,1234.0999755859375,15.5
1724164483.321845,messages/msg/DepthTemperature,2.246999979019165,std_msgs/msg/Header,,1774,builtin_interfaces/msg/Time,321210622,1724164483,1234.199951171875,15.5
1724164483.3769605,messages/msg/DepthTemperature,2.246999979019165,std_msgs/msg/Header,,1775,builtin_interfaces/msg/Time,375119209,1724164483,1234.199951171875,15.5
1724164483.455565,messages/msg/DepthTemperature,2.243000030517578,std_msgs/msg/Header,,1776,builtin_interfaces/msg/Time,454883337,1724164483,1233.800048828125,15.5
1724164483.5059338,messages/msg/DepthTemperature,2.243000030517578,std_msgs/msg/Header,,1777,builtin_interfaces/msg/Time,504721164,1724164483,1233.800048828125,15.5
1724164483.5726433,messages/msg/DepthTemperature,2.247999906539917,std_msgs/msg/Header,,1778,builtin_interfaces/msg/Time,571541070,1724164483,1234.300048828125,15.5
1724164483.6297562,messages/msg/DepthTemperature,2.250999927520752,std_msgs/msg/Header,,1779,builtin_interfaces/msg/Time,628390312,1724164483,1234.5999755859375,15.5
1724164483.685871,messages/msg/DepthTemperature,2.250999927520752,std_msgs/msg/Header,,1780,builtin_interfaces/msg/Time,684239864,1724164483,1234.5999755859375,15.5
1724164483.753323,messages/msg/DepthTemperature,2.249000072479248,std_msgs/msg/Header,,1781,builtin_interfaces/msg/Time,752061128,1724164483,1234.4000244140625,15.5
1724164483.8116312,messages/msg/DepthTemperature,2.243000030517578,std_msgs/msg/Header,,1782,builtin_interfaces/msg/Time,809903621,1724164483,1233.800048828125,15.5
1724164483.874208,messages/msg/DepthTemperature,2.243000030517578,std_msgs/msg/Header,,1783,builtin_interfaces/msg/Time,873768091,1724164483,1233.800048828125,15.5
1724164483.9346745,messages/msg/DepthTemperature,2.240000009536743,std_msgs/msg/Header,,1784,builtin_interfaces/msg/Time,933573961,1724164483,1233.5,15.5
