t,__msgtype__,fluid_pressure,header.__msgtype__,header.frame_id,header.stamp.__msgtype__,header.stamp.nanosec,header.stamp.sec,variance
1761037147.3904848,sensor_msgs/msg/FluidPressure,18216.39713679357,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,390451210,1761037147,400.0
1761037147.4549487,sensor_msgs/msg/FluidPressure,18204.128781849307,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,454928802,1761037147,400.0
1761037147.5192356,sensor_msgs/msg/FluidPressure,18216.471328853087,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,519200611,1761037147,400.0
1761037147.5803766,sensor_msgs/msg/FluidPressure,18200.351675266986,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,580351695,1761037147,400.0
1761037147.6415339,sensor_msgs/msg/FluidPressure,18229.23175785074,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,641502120,1761037147,400.0
1761037147.702722,sensor_msgs/msg/FluidPressure,18217.55013838172,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,702705873,1761037147,400.0
1761037147.7672744,sensor_msgs/msg/FluidPressure,18221.616551441497,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,767230863,1761037147,400.0
1761037147.831584,sensor_msgs/msg/FluidPressure,18214.877436092276,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,831562959,1761037147,400.0
1761037147.8925989,sensor_msgs/msg/FluidPressure,18200.792066924616,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,892554059,1761037147,400.0
1761037147.9537716,sensor_msgs/msg/FluidPressure,18217.028231529843,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,953753612,1761037147,400.0
1761037148.0183113,sensor_msgs/msg/FluidPressure,18204.751818939938,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,18284573,1761037148,400.0
1761037148.0795271,sensor_msgs/msg/FluidPressure,18201.74369903544,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,79491749,1761037148,400.0
1761037148.1406186,sensor_msgs/msg/FluidPressure,18221.85649290469,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,140581768,1761037148,400.0
1761037148.205079,sensor_msgs/msg/FluidPressure,18205.125251459456,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,205048003,1761037148,400.0
1761037148.2662342,sensor_msgs/msg/FluidPressure,18214.850364899325,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,266210260,1761037148,400.0
1761037148.3308747,sensor_msgs/msg/FluidPressure,18200.33372644989,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,330844510,1761037148,400.0
1761037148.3920233,sensor_msgs/msg/FluidPressure,18207.542919404368,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,391989647,1761037148,400.0
1761037148.4530704,sensor_msgs/msg/FluidPressure,18225.065761856134,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,453058967,1761037148,400.0
1761037148.5176194,sensor_msgs/msg/FluidPressure,18200.748827657324,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,517600690,1761037148,400.0
1761037148.5822291,sensor_msgs/msg/FluidPressure,18203.519992434933,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,582205371,1761037148,400.0
1761037148.640018,sensor_msgs/msg/FluidPressure,18224.834167240377,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,639955883,1761037148,400.0
1761037148.7045455,sensor_msgs/msg/FluidPressure,18214.205273337862,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,704504595,1761037148,400.0
1761037148.7689955,sensor_msgs/msg/FluidPressure,18219.56284311626,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,768941282,1761037148,400.0
1761037148.829908,sensor_msgs/msg/FluidPressure,18189.65085279657,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,829879146,1761037148,400.0
1761037148.8908439,sensor_msgs/msg/FluidPressure,18212.045964200213,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,890814941,1761037148,400.0
1761037148.9553175,sensor_msgs/msg/FluidPressure,18180.941645446932,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,955298205,1761037148,400.0
1761037149.0164676,sensor_msgs/msg/FluidPressure,18197.738444512506,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,16431014,1761037149,400.0
1761037149.0810957,sensor_msgs/msg/FluidPressure,18202.890901559746,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,81071697,1761037149,400.0
1761037149.142131,sensor_msgs/msg/FluidPressure,18162.289075336445,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,142097261,1761037149,400.0
1761037149.2031608,sensor_msgs/msg/FluidPressure,18190.585610543476,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,203133225,1761037149,400.0
1761037149.2675552,sensor_msgs/msg/FluidPressure,18213.023652394844,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,267500757,1761037149,400.0
1761037149.332014,sensor_msgs/msg/FluidPressure,18219.501022894987,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,331990604,1761037149,400.0
1761037149.3895895,sensor_msgs/msg/FluidPressure,18161.957880739257,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,389567335,1761037149,400.0
1761037149.4539468,sensor_msgs/msg/FluidPressure,18168.301888597605,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,453932007,1761037149,400.0
1761037149.5182645,sensor_msgs/msg/FluidPressure,18190.531922323968,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,518244140,1761037149,400.0
1761037149.5792887,sensor_msgs/msg/FluidPressure,18199.51208589393,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,579265895,1761037149,400.0
1761037149.6402574,sensor_msgs/msg/FluidPressure,18167.08463314068,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,640224392,1761037149,400.0
1761037149.7048206,sensor_msgs/msg/FluidPressure,18126.235878657215,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,704788357,1761037149,400.0
1761037149.7657955,sensor_msgs/msg/FluidPressure,18173.434987020653,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,765759283,1761037149,400.0
1761037149.8303506,sensor_msgs/msg/FluidPressure,18122.513331392398,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,830319838,1761037149,400.0
1761037149.8914123,sensor_msgs/msg/FluidPressure,18133.200369868504,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,891374752,1761037149,400.0
1761037149.9524248,sensor_msgs/msg/FluidPressure,18120.818693792167,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,952406416,1761037149,400.0
1761037150.0168393,sensor_msgs/msg/FluidPressure,18087.840555893934,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,16802647,1761037150,400.0
1761037150.0815368,sensor_msgs/msg/FluidPressure,18066.21319164071,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,81494451,1761037150,400.0
1761037150.139306,sensor_msgs/msg/FluidPressure,18073.90453261455,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,139272588,1761037150,400.0
1761037150.2039716,sensor_msgs/msg/FluidPressure,18017.599417295613,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,203934003,1761037150,400.0
1761037150.268458,sensor_msgs/msg/FluidPressure,17989.538324171703,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,268420143,1761037150,400.0
1761037150.3295972,sensor_msgs/msg/FluidPressure,17984.477054711562,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,329569047,1761037150,400.0
1761037150.3906178,sensor_msgs/msg/FluidPressure,17917.592442672594,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,390590754,1761037150,400.0
1761037150.4551725,sensor_msgs/msg/FluidPressure,17881.894843312817,std_msgs/msg/Header,vehicle/Pressure,builtin_interfaces/msg/Time,455151572,1761037150,400.0
