t,__msgtype__,altitude,header.__msgtype__,header.frame_id,header.stamp.__msgtype__,header.stamp.nanosec,header.stamp.sec,velocity.__msgtype__,velocity.x,velocity.y,velocity.z
1761035238.5143938,stonefish_ros2/msg/DVL,0.7818162673769385,std_msgs/msg/Header,vehicle/Nucleus_1000_DVL,builtin_interfaces/msg/Time,514318850,1761035238,geometry_msgs/msg/Vector3,0.008172012134601335,-0.0259644387011608,-0.08314258833457144
1761035238.6400955,stonefish_ros2/msg/DVL,0.7841207140470023,std_msgs/msg/Header,vehicle/Nucleus_1000_DVL,builtin_interfaces/msg/Time,640008920,1761035238,geometry_msgs/msg/Vector3,-0.012826840823281192,-0.05677898817265104,-0.11616448778065636
1761035238.7623649,stonefish_ros2/msg/DVL,0.7587851773275509,std_msgs/msg/Header,vehicle/Nucleus_1000_DVL,builtin_interfaces/msg/Time,762330294,1761035238,geometry_msgs/msg/Vector3,0.01624502288828744,-0.04660118608593704,-0.1351797136100319
1761035238.8914957,stonefish_ros2/msg/DVL,0.7505859479503956,std_msgs/msg/Header,vehicle/Nucleus_1000_DVL,builtin_interfaces/msg/Time,891462469,1761035238,geometry_msgs/msg/Vector3,0.01198156869284181,-0.0574650986319188,-0.12966369803943759
1761035239.0136802,stonefish_ros2/msg/DVL,0.7240660061577641,std_msgs/msg/Header,vehicle/Nucleus_1000_DVL,builtin_interfaces/msg/Time,13650878,1761035239,geometry_msgs/msg/Vector3,0.01464502102380596,-0.07898583533906105,-0.14903535333269058
1761035239.1391623,stonefish_ros2/msg/DVL,0.7036263985945115,std_msgs/msg/Header,vehicle/Nucleus_1000_DVL,builtin_interfaces/msg/Time,139118673,1761035239,geometry_msgs/msg/Vector3,-7.359332187443536e-06,-0.07936987375279451,-0.1560522467128693
1761035239.2645574,stonefish_ros2/msg/DVL,0.6963527349349347,std_msgs/msg/Header,vehicle/Nucleus_1000_DVL,builtin_interfaces/msg/Time,264534669,1761035239,geometry_msgs/msg/Vector3,0.0042537470665490905,-0.07640344788671798,-0.17356944951527337
1761035239.3901987,stonefish_ros2/msg/DVL,0.6736067901526226,std_msgs/msg/Header,vehicle/Nucleus_1000_DVL,builtin_interfaces/msg/Time,390171278,1761035239,geometry_msgs/msg/Vector3,0.017830373237876868,-0.09368634719477775,-0.17291586944708087
1761035239.512509,stonefish_ros2/msg/DVL,0.6650950569925995,std_msgs/msg/Header,vehicle/Nucleus_1000_DVL,builtin_interfaces/msg/Time,512476239,1761035239,geometry_msgs/msg/Vector3,0.0022374148193487794,-0.11125767189452773,-0.15415991593843328
1761035239.6416268,stonefish_ros2/msg/DVL,0.6318917613115652,std_msgs/msg/Header,vehicle/Nucleus_1000_DVL,builtin_interfaces/msg/Time,641592581,1761035239,geometry_msgs/msg/Vector3,0.0006525142650016138,-0.12497851632127126,-0.14763868100094138
