t,__msgtype__,beacon_index,connected,coordinate_frame,depth,east,header.__msgtype__,header.frame_id,header.stamp.__msgtype__,header.stamp.nanosec,header.stamp.sec,heading,north,pitch,protocol,roll,sigma,time_valid
1724164479.228419,sensors/msg/SonardyneUSBL2,1,True,N,-2.19,-9.46,std_msgs/msg/Header,,builtin_interfaces/msg/Time,228018999,1724164479,136.38,-12.32,2.97,$PSONUSBL,1.59,0.2,143438.51
1724164481.2120888,sensors/msg/SonardyneUSBL2,1,True,N,-2.18,-9.15,std_msgs/msg/Header,,builtin_interfaces/msg/Time,211549758,1724164481,136.08,-12.31,2.72,$PSONUSBL,1.1,0.2,143440.51
1724164483.2177205,sensors/msg/SonardyneUSBL2,1,True,N,-1.67,-9.43,std_msgs/msg/Header,,builtin_interfaces/msg/Time,216491460,1724164483,136.21,-11.73,2.73,$PSONUSBL,0.91,0.2,143442.49
1724164485.1509776,sensors/msg/SonardyneUSBL2,1,True,N,-2.31,-9.26,std_msgs/msg/Header,,builtin_interfaces/msg/Time,149613618,1724164485,135.85,-11.36,2.55,$PSONUSBL,1.44,0.2,143444.45
1724164487.1838777,sensors/msg/SonardyneUSBL2,1,True,N,-2.46,-9.14,std_msgs/msg/Header,,builtin_interfaces/msg/Time,183230161,1724164487,136.69,-10.81,2.34,$PSONUSBL,1.38,0.2,143446.48
1724164489.1710668,sensors/msg/SonardyneUSBL2,1,True,N,-1.59,-8.72,std_msgs/msg/Header,,builtin_interfaces/msg/Time,170532464,1724164489,135.13,-10.9,2.49,$PSONUSBL,1.16,0.2,143448.46
1724164491.1593523,sensors/msg/SonardyneUSBL2,1,True,N,-0.68,-8.19,std_msgs/msg/Header,,builtin_interfaces/msg/Time,158711910,1724164491,135.5,-10.88,2.09,$PSONUSBL,0.54,0.4,143450.44
1724164493.1485546,sensors/msg/SonardyneUSBL2,1,True,N,-1.72,-8.69,std_msgs/msg/Header,,builtin_interfaces/msg/Time,147364377,1724164493,136.35,-10.11,2.05,$PSONUSBL,0.58,0.2,143452.43
1724164495.187524,sensors/msg/SonardyneUSBL2,1,True,N,-1.81,-8.69,std_msgs/msg/Header,,builtin_interfaces/msg/Time,186461210,1724164495,136.21,-9.37,2.2,$PSONUSBL,1.01,0.2,143454.48
1724164497.2176945,sensors/msg/SonardyneUSBL2,1,True,N,-1.47,-8.6,std_msgs/msg/Header,,builtin_interfaces/msg/Time,216351032,1724164497,136.4,-8.98,2.33,$PSONUSBL,1.05,0.1,143456.51
